公司名稱,公司網址,職務名稱,職務網址,接受身份,工作經歷,學歷要求,科系要求,語文條件,擅長工具,工作技能,其他條件
台灣富士全錄股份有限公司,https://www.104.com.tw/company/1mpl4c0,RPA技術分析師,https://www.104.com.tw/job/ajax/content/6tejt,"['上班族', '原住民']",1年以上,大學、碩士,['資訊管理相關'],['英文:聽 /中等、說 /中等、讀 /精通、寫 /精通'],"['Excel', 'Outlook', 'PowerPoint', 'Word']",無,"['1.MS', 'Office文書能力', '2.公司提供筆電', '3.熟悉以下任一語言：VBA/VB.NET/JAVA/C#', '4.具備以下任一語言基礎：PowerShell', '/', 'Bash', '/', 'Python', '/', 'JavaScript', '5.具備任一', 'RDBMS', '操作以及SQL', 'Statement基礎', '6.具備前端', 'HTML5', '/', 'CSS', '或任一', 'Front', 'End', 'Framework', '概念', '7.具備', '00P', '/', 'Web', 'Service', '/', 'RESTful', 'API', '概念', '8.具備與團隊以及外部使用者保持良好關係的能力', '9.具備主動積極的心態，並對技術有熱情，有意願學習新技術', 'Nice', 'To', 'Have:', '1.具有', 'Git', '/', 'Bitbucket', '經驗', '2.具有', 'Puppet', '/', 'Ansible', '/', 'Jenkins', '3.具有', 'Docker', '/', 'Kubernetes', '/', 'GCP', '/', 'AWS', '基礎概念', '4.具耔MVC/網路架構/系統架構/資料結構/演算法/網路爬蟲基礎概念', '5.對透過程式/軟體/工具進行流程自動化有興趣', '6.有意願往系統分析師/系統架構師的職涯發展', '7.曾參與過以', 'Agile/Scrum', '進行之專案開發流程']"
千手數位科技股份有限公司,https://www.104.com.tw/company/1a2x6bl7wd,網頁爬蟲工程師,https://www.104.com.tw/job/ajax/content/6ybcj,"['上班族', '應屆畢業生', '夜間就讀中', '研發替代役', '原住民', '二度就業']",不拘,專科以上,無,無,無,無,"['熟悉視覺化呈現數據並有實作經驗者加分', '熟悉docker或具備分散式爬蟲設計經驗者優先錄取', '我們期待工作夥伴對新技術有熱情及渴望，具備自我學習及研究的能力。', '具耐心及細心加分，擅長團隊合作。', '須具有獨立工作能力。']"
倢思數位科技股份有限公司,https://www.104.com.tw/company/1a2x6bk5pg,網頁爬蟲工程師,https://www.104.com.tw/job/ajax/content/6wwkw,"['上班族', '應屆畢業生', '研發替代役', '原住民', '二度就業', '中壯齡']",不拘,大學以上,無,無,無,無,"['熟悉視覺化呈現數據並有實作經驗者加分', '熟悉docker或具備分散式爬蟲設計經驗者優先錄取', '我們期待工作夥伴對新技術有熱情及渴望，具備自我學習及研究的能力。', '具耐心及細心加分，擅長團隊合作。', '須具有獨立工作能力。']"
彩虹雲端科技有限公司,https://www.104.com.tw/company/1a2x6bjvqn,Python 爬蟲工程師,https://www.104.com.tw/job/ajax/content/6qgsx,"['上班族', '應屆畢業生', '日間就讀中', '夜間就讀中', '研發替代役', '外籍人士', '原住民', '二度就業', '中壯齡', '中高齡', '高齡', '更生人', '學生實習']",2年以上,不拘,無,無,無,無,無
聖璟科技有限公司,https://www.104.com.tw/company/1a2x6bl7yt,爬蟲工程師,https://www.104.com.tw/job/ajax/content/6yd0x,"['上班族', '應屆畢業生', '原住民', '二度就業']",不拘,不拘,無,無,無,無,無
伊諾科技有限公司,https://www.104.com.tw/company/1a2x6bkxph,不希望只能召喚爬蟲的 Python 工程師,https://www.104.com.tw/job/ajax/content/6ucvg,['上班族'],3年以上,大學以上,無,無,['Python'],無,"['好的開始帶你上天堂，而好的開始包含但不限於以下技能：', '熟悉', 'GraphQL', '並有實際使用經驗。', '熟悉', 'tornado,', 'Django,', 'Celery,', 'Scrapy', '等相關框架。', '熟悉', 'Docker,', 'Kubernetes。', '熟悉設計模式（design', 'patterns）及微服務架構設計。', '有熱情去培養寬廣的技術視野，願意積極了解當前技術發展。']"
帕奇巨科技有限公司,https://www.104.com.tw/company/1a2x6bkv1j,"Python爬蟲程式工讀生, 學校實習可",https://www.104.com.tw/job/ajax/content/6wleb,"['日間就讀中', '夜間就讀中', '研發替代役', '學生實習']",不拘,專科以上,無,無,無,無,['不接受遠距工作']
前進智能股份有限公司,https://www.104.com.tw/company/1a2x6bknpq,爬蟲開發工程師 (學生實習、長期兼職),https://www.104.com.tw/job/ajax/content/6rriz,"['上班族', '應屆畢業生', '日間就讀中', '夜間就讀中', '研發替代役', '原住民', '二度就業', '學生實習']",不拘,大學以上,"['資訊工程相關', '資訊管理相關']",無,無,無,無
台盈資訊科技有限公司,https://www.104.com.tw/company/1a2x6bkaqj,Python 工程師,https://www.104.com.tw/job/ajax/content/6pw99,['上班族'],1年以上,不拘,無,無,['Python'],無,"['1.具備', 'Python相關工作經驗', '2.爬蟲程式製作的基礎知識與經驗']"
台盈資訊科技有限公司,https://www.104.com.tw/company/1a2x6bkaqj,Python 資深工程師,https://www.104.com.tw/job/ajax/content/6ngr8,['上班族'],3年以上,大學以上,無,無,['Python'],無,"['[基本要求]', '-', '要求具備使用', 'Python', '開發高效能爬蟲工具，或自動化軟體', '-', '爬蟲程式開發相關工作經驗', '3', '年以上', '-', '其他面議']"
