公司名稱,公司網址,職務名稱,職務網址,接受身份,工作經歷,學歷要求,科系要求,語文條件,擅長工具,工作技能,其他條件
公司名稱,公司網址,職務名稱,職務網址,接受身份,工作經歷,學歷要求,科系要求,語文條件,擅長工具,工作技能,其他條件
精藤股份有限公司,https://www.104.com.tw/company/18jr0l0o,資深資料科學家,https://www.104.com.tw/job/ajax/content/6l60e,['上班族'],5年以上,碩士以上,"['應用數學相關', '統計學相關', '資訊管理相關']",無,無,無,"['1.', '資訊/統計/應用數學相關科系畢，具大數據與統計分析經驗。', '2.', '擅長研究調查、撰寫分析報告；具邏輯性，解讀數據能力強。', '3.', '具備5年以上數據研究專案，2年以上機器學習、智慧BI導入經驗。', '4.', '具備零售、物流、電商相關產業服務經驗者佳。', '5.', '具備團隊合作、規劃規劃、溝通協調以及抗壓性。']"
Deep01_愛因斯坦人工智慧股份有限公司,https://www.104.com.tw/company/1a2x6bjv25,資料科學家,https://www.104.com.tw/job/ajax/content/6xakv,['上班族'],3年以上,大學以上,無,無,無,無,無
烏龜移動科技股份有限公司,https://www.104.com.tw/company/1a2x6bjz66,資料科學家,https://www.104.com.tw/job/ajax/content/5kzi3,"['上班族', '應屆畢業生']",不拘,大學以上,無,['英文:聽 /中等、說 /中等、讀 /中等、寫 /中等'],無,無,"['加分條件', '-', '熟悉', 'NLP,', 'Deep', 'Learning', '-', '熟悉', 'Python', '-', '具Spark', '及', 'GPU', '運算優化經驗尤佳', '-', 'DMP', '操作經驗']"
動力安全資訊股份有限公司,https://www.104.com.tw/company/10vcwn74,資料科學家,https://www.104.com.tw/job/ajax/content/6psyi,"['上班族', '原住民']",2年以上,大學、碩士,無,['英文:聽 /中等、說 /中等、讀 /中等、寫 /中等'],無,無,"['1.具備一年以上資料分析經驗', '2.具備一年以上機器學習實作經驗', '3.具備Python程式撰寫一年以上經驗', '4.具備良好的溝通能力及抗壓性', '5.熟悉Scrum佳']"
昱峰智能大數據科技股份有限公司,https://www.104.com.tw/company/1a2x6bkbn6,AI資料科學家,https://www.104.com.tw/job/ajax/content/5x0ln,"['上班族', '研發替代役', '外籍人士', '原住民', '二度就業']",不拘,專科以上,無,無,"['Linux', 'Github', 'Python']",無,"['加分項目：', '1.', '具半導體經驗，了解半導體製程，有處理過良率改善經驗', '2.', '曾撰寫過', 'GPU相關程式。', '3.', '熟MongoDB', '4.', '熟Apache', 'Spark', '5.', '熟以下之一：CUDA', ',', 'CuPy,', 'MPI,', 'OpenMP', '6.', '熟以下之一：tensorflow,', 'keras,', 'pytorch', 'PS.', '誠信、負責、主動積極、有挑戰精神優先錄取']"
美商百威雷科技有限公司台灣分公司,https://www.104.com.tw/company/1a2x6bl1lb,資料科學家(Data Scientist),https://www.104.com.tw/job/ajax/content/6rzer,"['上班族', '應屆畢業生', '研發替代役', '外籍人士', '原住民', '二度就業']",不拘,大學以上,無,['英文:聽 /中等、說 /中等、讀 /精通、寫 /精通'],"['Linux', 'Github', 'Python']","['作業系統基本操作', '電腦設備裝配', '軟體程式設計', 'Machine Learning', '資料庫軟體應用', '系統架構規劃與維護', '網路系統配置']","['**Please', 'attach', 'a', 'copy', 'of', 'your', 'resume', 'in', 'English.', '**欲應徵者請附英文履歷提供審查']"
李長榮化學工業股份有限公司,https://www.104.com.tw/company/hxvzfrc,Data Scientist(資料科學家),https://www.104.com.tw/job/ajax/content/4jao3,['上班族'],2年以上,大學、碩士,"['數學及電算機科學學科類', '統計學相關']",['英文:聽 /精通、說 /精通、讀 /精通、寫 /精通'],無,無,"['-Bachelor', 'degree', 'or', 'higher,', 'major', 'in', 'Computer', 'Science,', 'Statistics,', 'Mathematics.', '-At', 'Least', '2', 'year', 'experience', 'in', 'Data', 'Mining,', 'Machine', 'Learning,', 'Information', 'Retrieval,', 'Natural', 'Language', 'Processing', 'or', 'related', 'knowledge.', '-Proficiency', 'with', 'data', 'analysis', 'languages:', 'R,', 'Python,', 'Java', 'or', 'Scala.', '-Experience', 'in', 'parallel,', 'distributed', 'and', 'cloud', 'computing', 'and', 'data', 'processing.', '-Comfortable', 'with', 'data', 'analysis', '&', 'visualization', 'using', 'analytic', 'tools', 'with', 'the', 'capability', 'of', 'creating,', 'planning,', 'and', 'analyzing.', '-Experience', 'in', 'at', 'least', 'one', 'MVC', 'web', 'designing,', 'implementing', 'and', 'maintaining', 'applications', 'is', 'a', 'plus', '-Good', 'English', 'Language', 'Capability.']"
緯創資通股份有限公司,https://www.104.com.tw/company/5wthkkw,醫療資料科學家 _ 汐止 _ 00000,https://www.104.com.tw/job/ajax/content/61399,['上班族'],5年以上,碩士以上,"['數學及電算機科學學科類', '工程學科類', '醫藥衛生學科類']",無,"['Java', 'Python', 'R']",無,"['1.', '五年以上資料分析相關實務經驗，或系統開發，資料庫開發相關經驗', '2.', '有醫療相關系統的開發，或醫院相關系統開發經驗', '3.', '醫療資料庫開發相關經驗，醫療資料分析相關經驗', '4.', '熟悉資料分析和機器學習，熟悉各種演算法，機器學習模型，熟悉至少一種語言：Java,', 'Python,', 'R', '5.', '必須熟悉資料庫設計或資料庫管理', '6.', 'Nice', 'to', 'have:', 'Deep', 'Learning,', 'DBA,', '醫療資訊管理師']"
TutorABC_麥奇數位股份有限公司,https://www.104.com.tw/company/1134yk9s,資料科學家(Data Scientist),https://www.104.com.tw/job/ajax/content/6q78a,['上班族'],5年以上,碩士以上,"['數學及電算機科學學科類', '資訊工程相關', '資訊管理相關']",['英文:聽 /中等、說 /中等、讀 /中等、寫 /中等'],"['Python', 'R']",無,[]
